ND6TRAN|salesinvoice|attribute|salesmanID|salesorderNumber|salesorderDate|invoiceNumber|invoiceDate|term|soldtoCustomerID|senttoCustomerID|invoicedtoCustomerID|customerPO|sellingType|documentType|cashPayment|giroPayment|giroNumber|giroBank|giroDue|adjustmentAmount|discount1|discount2|discount3|tax1|tax2|tax3|productCode|productvarianCode|qtySold|qtyFreeGood|sellingPrice|lineDiscount1|lineDiscount2|lineDiscount3|lineDiscount4|lineDiscount5|companyID|branchID|divisionID|warehouseID|lineGrossAmount|lineDiscountAmount1|lineDiscountAmount2|lineDiscountAmount3|lineDiscountAmount4|lineDiscountAmount5|discountAmount1|discountAmount2|discountAmount3|taxAmount1|taxAmount2|taxAmount3|lineNetAmount|conversion1to4|conversion2to4|conversion3to4|unitCost|manualPO|promotionID|referenceNumber|isSKU
ND6TRAN|salesinvoice|value|SLS002|SO2412744276|2024-12-07|SI241243199|2024-12-09|13|F1619238|F1619238|F1619238|SLS002-00124120000000019101|TO||0|0||||0|0|0|0|11|0|0|WB-CHO-12|-|6|0|80000|0|0|0|0|0|NS6083060001665|1.53E+12|1.59E+12|STANDARD|40000|0|0|0|0|0|0|0|0|4400|0|0|44400|12|1|1|0|SLS002-00124120000000019101|||N
ND6TRAN|salesinvoice|value|SLS002|SO2412744276|2024-12-07|SI241243199|2024-12-09|13|F1619238|F1619238|F1619238|SLS002-00124120000000019101|TO||0|0||||0|0|0|0|11|0|0|WB-CHO-70G|-|10|0|67567.57|0|0|0|0|0|NS6083060001665|1.53E+12|1.59E+12|STANDARD|22522.52|0|0|0|0|0|0|0|0|2477.4772|0|0|24999.9972|30|10|1|0|SLS002-00124120000000019101|||N
ND6TRAN|salesinvoice|value|SLS002|SO2412744276|2024-12-07|SI241243199|2024-12-09|13|F1619238|F1619238|F1619238|SLS002-00124120000000019101|TO||0|0||||0|0|0|0|11|0|0|WB-NCHO-02|-|12|0|107027.03|0|0|0|0|0|NS6083060001665|1.53E+12|1.59E+12|STANDARD|8918.92|0|0|0|0|0|0|0|0|981.0812|0|0|9900.0012|144|12|1|0|SLS002-00124120000000019101|||N
ND6TRAN|salesinvoice|value|SLS001|SO2412744269|2024-12-07|SI241243200|2024-12-09|13|F160643|F160643|F160643|SLS001-00124120000000019300|TO||0|0||||0|0|0|0|11|0|0|CR-CHM-21|-|7|0|98198.2|0|0|0|0|0|NS6083060001665|1.53E+12|1.59E+12|STANDARD|32732.73|0|0|0|0|0|0|0|0|3600.6003|0|0|36333.3303|21|1|1|0|SLS001-00124120000000019300|||N
ND6TRAN|salesinvoice|value|SLS001|SO2412744269|2024-12-07|SI241243200|2024-12-09|13|F160643|F160643|F160643|SLS001-00124120000000019300|TO||0|0||||0|0|0|0|11|0|0|CR-ORG-21|-|7|0|98198.2|0|0|0|0|0|NS6083060001665|1.53E+12|1.59E+12|STANDARD|32732.73|0|0|0|0|0|0|0|0|3600.6003|0|0|36333.3303|21|1|1|0|SLS001-00124120000000019300|||N
ND6TRAN|salesinvoice|value|SLS001|SO2412744269|2024-12-07|SI241243200|2024-12-09|13|F160643|F160643|F160643|SLS001-00124120000000019300|TO||0|0||||0|0|0|0|11|0|0|CR-VNL-21|-|7|0|98198.2|0|0|0|0|0|NS6083060001665|1.53E+12|1.59E+12|STANDARD|32732.73|0|0|0|0|0|0|0|0|3600.6003|0|0|36333.3303|21|1|1|0|SLS001-00124120000000019300|||N
ND6TRAN|salesinvoice|value|SLS001|SO2412744269|2024-12-07|SI241243200|2024-12-09|13|F160643|F160643|F160643|SLS001-00124120000000019300|TO||0|0||||0|0|0|0|11|0|0|WB-CHO-12|-|12|0|80000|0|0|0|0|0|NS6083060001665|1.53E+12|1.59E+12|STANDARD|80000|0|0|0|0|0|0|0|0|8800|0|0|88800|12|1|1|0|SLS001-00124120000000019300|||N
ND6TRAN|salesinvoice|value|SLS001|SO2412744270|2024-12-07|SI241243201|2024-12-09|0|F168008|F168008|F168008|SLS001-00124120000000019319|TO||0|0||||0|0|0|0|11|0|0|CC-MKCO-30|-|6|0|133333.33|0|0|0|0|0|NS6083060001665|1.53E+12|1.59E+12|STANDARD|26666.67|0|0|0|0|0|0|0|0|2933.3337|0|0|29600.0037|30|1|1|0|SLS001-00124120000000019319|||N
ND6TRAN|salesinvoice|value|SLS001|SO2412744270|2024-12-07|SI241243201|2024-12-09|0|F168008|F168008|F168008|SLS001-00124120000000019319|TO||0|0||||0|0|0|0|11|0|0|CC-SHP-36|-|6|0|195945.95|0|0|0|0|0|NS6083060001665|1.53E+12|1.59E+12|STANDARD|32657.66|0|0|0|0|0|0|0|0|3592.3426|0|0|36250.0026|36|1|1|0|SLS001-00124120000000019319|||N
ND6TRAN|salesinvoice|value|SLS001|SO2412744270|2024-12-07|SI241243201|2024-12-09|0|F168008|F168008|F168008|SLS001-00124120000000019319|TO||0|0||||0|0|0|0|11|0|0|CH-PNT-12|-|4|0|81081.08|0|0|0|0|0|NS6083060001665|1.53E+12|1.59E+12|STANDARD|27027.03|0|0|0|0|0|0|0|0|2972.9733|0|0|30000.0033|12|1|1|0|SLS001-00124120000000019319|||N
ND6TRAN|salesinvoice|value|SLS001|SO2412744270|2024-12-07|SI241243201|2024-12-09|0|F168008|F168008|F168008|SLS001-00124120000000019319|TO||0|0||||0|0|0|0|11|0|0|CO-KLP-28|-|7|0|197297.3|0|0|0|0|0|NS6083060001665|1.53E+12|1.59E+12|STANDARD|49324.32|0|0|0|0|0|0|0|0|5425.6752|0|0|54749.9952|28|1|1|0|SLS001-00124120000000019319|||N
ND6TRAN|salesinvoice|value|SLS001|SO2412744270|2024-12-07|SI241243201|2024-12-09|0|F168008|F168008|F168008|SLS001-00124120000000019319|TO||0|0||||0|0|0|0|11|0|0|CR-CBN-21|-|7|0|98198.2|0|0|0|0|0|NS6083060001665|1.53E+12|1.59E+12|STANDARD|32732.73|0|0|0|0|0|0|0|0|3600.6003|0|0|36333.3303|21|1|1|0|SLS001-00124120000000019319|||N
